,SPX Index,cash,total,benchmark
2012-08-10,156051.56999999998,392.94000000006054,156444.51000000004,165129.67284230984
2012-08-13,155856.21,392.94000000006054,156249.15000000005,164922.94802123643
2012-08-14,155836.23,392.94000000006054,156229.17000000007,164901.8057099903
2012-08-15,156013.83,392.94000000006054,156406.77000000005,165089.73736551154
2012-08-16,157121.61,392.94000000006054,157514.55000000005,166261.9610668255
2012-08-17,157415.76,392.94000000006054,157808.70000000007,166573.2228712826
2012-08-20,157412.43000000002,392.94000000006054,157805.37000000008,166569.69915274158
2012-08-21,156861.87,392.94000000006054,157254.81000000006,165987.11102062563
2012-08-22,156897.39,392.94000000006054,157290.33000000007,166024.69735172988
2012-08-23,155630.88,392.94000000006054,156023.82000000007,164684.50973329376
2012-08-24,156635.43000000002,392.94000000006054,157028.37000000008,165747.498159836
2012-08-27,156557.73,392.94000000006054,156950.67000000007,165665.27806054542
2012-08-28,156432.3,392.94000000006054,156825.24000000005,165532.5513288335
2012-08-29,156564.39,392.94000000006054,156957.33000000007,165672.32549762746
2012-08-30,155342.28,392.94000000006054,155735.22000000006,164379.1207930717
2012-08-31,156130.38,392.94000000006054,156523.32000000007,165213.06751444732
2012-09-04,155948.34,392.94000000006054,156341.28000000006,165020.43756753803
2012-09-05,-155780.73,311954.4000000001,156173.67000000007,164843.07706763982
2012-09-06,-158965.31999999998,311954.4000000001,152989.0800000001,168212.92656570565
2012-09-07,150981.6,1363.6800000000512,152345.28000000006,168894.17881697032
2012-09-10,150053.4,1363.6800000000512,151417.08000000005,167855.85642021525
2012-09-11,150524.85,1363.6800000000512,151888.53000000006,168383.23962852184
2012-09-12,150838.8,1363.6800000000512,152202.48000000004,168734.43690977723
2012-09-13,153298.95,1363.6800000000512,154662.63000000006,171486.4610903169
2012-09-14,153905.85,1363.6800000000512,155269.53000000006,172165.36419588752
2012-09-17,153424.95,1363.6800000000512,154788.63000000006,171627.40983195786
2012-09-18,153228.6,1363.6800000000512,154592.28000000006,171407.76470956736
2012-09-19,153410.25,1363.6800000000512,154773.93000000005,171610.96581209975
2012-09-20,153327.3,1363.6800000000512,154690.98000000004,171518.1745571861
2012-09-21,153315.75,1363.6800000000512,154679.43000000005,171505.25425586905
2012-09-24,152973.45,1363.6800000000512,154337.13000000006,171122.34350774446
2012-09-25,151366.94999999998,1363.6800000000512,152730.63000000003,169325.24705182223
2012-09-26,150498.6,1363.6800000000512,151862.28000000006,168353.87530734664
2012-09-27,151950.75,1363.6800000000512,153314.43000000005,169978.30955475869
2012-09-28,151270.35,1363.6800000000512,152634.03000000006,169217.1863498975
2012-10-01,151671.45,1363.6800000000512,153035.13000000006,169665.87317745454
2012-10-02,151803.75,1363.6800000000512,153167.43000000005,169813.86935617754
2012-10-03,152353.95,1363.6800000000512,153717.63000000006,170429.3455280097
2012-10-04,-153447.0,308257.68000000005,154810.68000000005,171652.07586174502
2012-10-05,-153397.65,308257.68000000005,154860.03000000006,171596.87093793563
